iter	Passed	Remaining
0	2	256
1	4	221
2	7	230
3	8	210
4	10	200
5	12	190
6	13	184
7	15	178
8	17	173
9	18	169
10	20	167
11	23	170
12	24	166
13	26	163
14	28	160
15	29	157
16	31	154
17	33	151
18	34	148
19	37	149
20	39	147
21	40	145
22	42	142
23	44	140
24	45	137
25	47	135
26	49	132
27	51	131
28	53	130
29	55	128
30	56	126
31	58	124
32	60	122
33	61	120
34	63	118
35	65	116
36	68	115
37	70	114
38	71	112
39	73	110
40	75	108
41	75	104
42	77	102
43	79	100
44	82	100
45	84	98
46	86	96
47	87	95
48	89	93
49	91	91
50	92	89
51	95	87
52	97	86
53	99	84
54	101	82
55	102	80
56	104	78
57	106	76
58	108	75
59	110	73
60	113	72
61	114	70
62	116	68
63	118	66
64	119	64
65	121	62
66	124	61
67	128	60
68	131	59
69	133	57
70	135	55
71	136	53
72	138	51
73	140	49
74	142	47
75	144	45
76	145	43
77	147	41
78	149	39
79	150	37
80	152	35
81	154	33
82	155	31
83	158	30
84	160	28
85	161	26
86	163	24
87	165	22
88	166	20
89	168	18
90	170	16
91	172	14
92	174	13
93	175	11
94	177	9
95	179	7
96	180	5
97	182	3
98	184	1
99	185	0
