iter	Passed	Remaining
0	133	133540
1	135	67598
2	137	45603
3	140	34877
4	142	28335
5	144	23962
6	146	20848
7	148	18437
8	150	16553
9	152	15053
10	153	13819
11	155	12789
12	156	11917
13	158	11173
14	160	10527
15	161	9960
16	163	9456
17	165	9024
18	167	8626
19	168	8267
20	170	7943
21	172	7649
22	173	7379
23	175	7129
24	177	6903
25	178	6691
26	180	6495
27	181	6312
28	183	6143
29	185	5984
30	186	5836
31	188	5695
32	189	5564
33	191	5440
34	193	5329
35	194	5218
36	196	5114
37	198	5016
38	199	4923
39	201	4833
40	203	4750
41	204	4673
42	206	4594
43	208	4523
44	209	4451
45	211	4383
46	212	4316
47	214	4253
48	216	4193
49	217	4140
50	219	4084
51	221	4031
52	222	3979
53	224	3928
54	225	3880
55	227	3833
56	228	3788
57	230	3744
58	232	3704
59	233	3663
60	235	3623
61	236	3585
62	238	3547
63	240	3511
64	241	3477
65	243	3442
66	245	3415
67	247	3393
68	250	3373
69	251	3345
70	253	3315
71	254	3286
72	256	3259
73	258	3230
74	259	3203
75	261	3176
76	262	3152
77	264	3127
78	266	3105
79	268	3091
80	270	3069
81	272	3045
82	272	3014
83	274	2993
84	276	2972
85	277	2951
86	279	2931
87	281	2913
88	282	2896
89	284	2877
90	286	2859
91	287	2841
92	289	2823
93	291	2805
94	292	2788
95	294	2771
96	296	2761
97	298	2749
98	300	2733
99	302	2718
100	303	2702
101	305	2686
102	306	2671
103	308	2656
104	309	2642
105	311	2628
106	313	2614
107	314	2600
108	316	2586
109	318	2573
110	319	2559
111	321	2546
112	322	2533
113	324	2521
114	326	2509
115	327	2496
116	328	2480
117	330	2469
118	331	2457
119	333	2445
120	334	2433
121	336	2419
122	337	2409
123	339	2399
124	341	2389
125	342	2378
126	344	2366
127	345	2356
128	347	2346
129	349	2336
130	350	2326
131	352	2317
132	353	2307
133	355	2298
134	357	2288
135	358	2279
136	360	2270
137	361	2261
138	363	2252
139	365	2243
140	367	2239
141	368	2229
142	371	2225
143	385	2291
144	392	2315
145	397	2325
146	400	2324
147	402	2317
